COMPANY_CD,HEDGE_DT,BALANCE_QTY,ENT_BY,ENT_DT,FLAG
2,01/04/2025,71214338,0,01/04/2025 00:00:00,L
2,30/04/2025,-2335118,0,10/06/2025 12:28:12,Y
2,01/04/2024,85108223,0,01/04/2024 00:00:00,L
2,30/04/2024,3189680,0,10/06/2025 12:32:33,Y
2,31/05/2025,-3900236,0,10/06/2025 12:36:10,Y
2,30/06/2025,-5285354,0,25/08/2025 15:57:54,Y
2,30/06/2024,-2041364,0,18/06/2025 16:28:18,Y
2,31/08/2025,-2615118,0,23/08/2025 10:13:35,Y
2,31/10/2025,-55118,0,28/08/2025 10:51:31,Y
2,31/10/2023,-3086970,0,28/08/2025 10:51:33,Y
2,30/09/2025,-3690236,0,01/09/2025 13:49:04,Y
2,30/09/2024,-5548238,0,01/09/2025 13:49:10,Y
